,a_name,b_index,c_speed,d_travelTime,e_delayTime,f_length
0,G20青银高速辅路,4.6,9.1,17.0,13.3,2592.0
1,书云东路,4.0,11.1,11.3,8.5,2104.0
2,绣城路,3.6,10.3,13.6,9.8,2328.0
3,琅琊台南路,3.6,13.0,21.9,15.8,4721.0
4,崇阳路,3.1,12.7,12.8,8.7,2703.0
5,双元路,2.9,14.5,40.3,26.6,9748.0
6,绣城路,2.9,12.5,11.2,7.4,2335.0
7,G20青银高速辅路,2.9,14.1,27.5,18.1,6480.0
8,文阳路,2.8,14.9,28.3,18.1,7022.0
9,安顺路,2.6,14.4,13.3,8.2,3202.0
