,a_name,b_index,c_speed,d_travelTime,e_delayTime,f_length
0,双流高架路,1.4,47.7,10.4,3.2,8237.0
1,G20青银高速,1.4,52.6,8.6,2.4,7536.0
2,双流高架路,1.3,52.8,9.7,2.2,8501.0
3,G20青银高速,1.3,59.4,18.8,4.2,18641.0
4,S7601青岛前湾港1号疏港高速,1.2,50.4,8.0,1.5,6730.0
5,杭鞍高架路,1.2,62.0,5.9,0.8,6138.0
6,G20青银高速,1.2,72.1,15.6,2.1,18780.0
7,青岛胶州湾隧道,1.1,61.7,9.2,1.2,9451.0
8,环湾路,1.1,63.1,14.1,1.5,14789.0
9,青岛胶州湾隧道,1.1,65.7,9.2,0.8,10044.0
